编码,中文名称,拼音名称,区域级别,上级区域编码,短名字,后缀
451200,河池市,he chi shi,3,450000,河池,市
441600,河源市,he yuan shi,3,440000,河源,市
371700,菏泽市,he ze shi,3,370000,菏泽,市
451100,贺州市,he zhou shi,3,450000,贺州,市
410600,鹤壁市,he bi shi,3,410000,鹤壁,市
230400,鹤岗市,he gang shi,3,230000,鹤岗,市
231100,黑河市,hei he shi,3,230000,黑河,市
131100,衡水市,heng shui shi,3,130000,衡水,市
430400,衡阳市,heng yang shi,3,430000,衡阳,市
532500,红河哈尼族彝族自治州,hong he ha ni zu yi zu zi zhi zhou,3,530000,红河,哈尼族彝族自治州
150100,呼和浩特市,hu he hao te shi,3,150000,呼和浩特,市
150700,呼伦贝尔市,hu lun bei er shi,3,150000,呼伦贝尔,市
330500,湖州市,hu zhou shi,3,330000,湖州,市
211400,葫芦岛市,hu lu dao shi,3,210000,葫芦岛,市
431200,怀化市,huai hua shi,3,430000,怀化,市
320800,淮安市,huai an shi,3,320000,淮安,市
340600,淮北市,huai bei shi,3,340000,淮北,市
340400,淮南市,huai nan shi,3,340000,淮南,市
421100,黄冈市,huang gang shi,3,420000,黄冈,市
632300,黄南藏族自治州,huang nan zang zu zi zhi zhou,3,630000,黄南,藏族自治州
341000,黄山市,huang shan shi,3,340000,黄山,市
420200,黄石市,huang shi shi,3,420000,黄石,市
441300,惠州市,hui zhou shi,3,440000,惠州,市
230300,鸡西市,ji xi shi,3,230000,鸡西,市
360800,吉安市,ji an shi,3,360000,吉安,市
220200,吉林市,ji lin shi,3,220000,吉林,市
370100,济南市,ji nan shi,3,370000,济南,市
370800,济宁市,ji ning shi,3,370000,济宁,市
419000,济源市,ji yuan shi,3,410000,济源,市
230800,佳木斯市,jia mu si shi,3,230000,佳木斯,市
330400,嘉兴市,jia xing shi,3,330000,嘉兴,市
620200,嘉峪关市,jia yu guan shi,3,620000,嘉峪关,市
440700,江门市,jiang men shi,3,440000,江门,市
410800,焦作市,jiao zuo shi,3,410000,焦作,市
445200,揭阳市,jie yang shi,3,440000,揭阳,市
620300,金昌市,jin chang shi,3,620000,金昌,市
330700,金华市,jin hua shi,3,330000,金华,市
210700,锦州市,jin zhou shi,3,210000,锦州,市
140500,晋城市,jin cheng shi,3,140000,晋城,市
140700,晋中市,jin zhong shi,3,140000,晋中,市
420800,荆门市,jing men shi,3,420000,荆门,市
421000,荆州市,jing zhou shi,3,420000,荆州,市
360200,景德镇市,jing de zhen shi,3,360000,景德镇,市
360400,九江市,jiu jiang shi,3,360000,九江,市
812000,九龙,jiu long,3,810000,九龙,
